"","SampleId","Abun","Nbtaxon","NbtaxE","NbtaxP","NbtaxT","NbtaxEPT","PE","PP","PT","PEPT","Pchiro","Poligo","Pmollus","Phydrtot","Ptolerant","Nbtaxint","FBI","ASPT","IMIBWVf","POUR_Erpob","TOP3","NFam_Tri.Eph.Oda","NFam_Oda","NFam_SNAILS"
"1",16174,645,20,0,0,3,3,0,0,3.72,3.72,0.31,0,7.91,0,40,0,4.58,6.15,108.2,0,0.883720930232558,4,1,6
"2",13384,5636,23,1,0,1,2,0.2,0,0.04,0.23,0.82,0,22.34,0,43.48,0,5.24,5.78,90.21,0,0.875621007806955,3,1,7
"3",13386,1035,27,3,0,2,5,35.27,0,0.87,36.14,10.43,0,14.88,0,29.63,0,6.05,5.59,118.82,0,0.629951690821256,5,1,4
"4",13381,339,17,3,0,0,3,1.77,0,0,1.77,23.6,0,0.29,0,23.53,2,5.38,5.53,111.22,0,0.92330383480826,2,0,1
"5",13380,223,18,2,0,1,3,52.02,0,0.9,52.91,6.28,0,11.66,0,33.33,0,6.48,5.89,137.79,0,0.721973094170404,3,1,4
"6",13378,228,9,1,0,0,1,0.44,0,0,0.44,3.95,0,7.89,0,55.56,0,6.07,6.67,64.32,0,0.881578947368421,1,0,3
"7",13385,415,17,2,0,2,4,7.23,0,7.47,14.7,46.27,0,5.54,0,41.18,0,6.71,5.88,134.95,0,0.689156626506024,5,1,3
"8",13377,303,15,0,0,2,2,0,0,0.99,0.99,10.89,0,21.45,0,40,0,6.21,6.07,62.81,0,0.65016501650165,3,1,4
"9",13379,1135,21,2,0,3,5,6.08,0,2.73,8.81,14.54,0.09,16.39,0,42.86,0,6.98,5.57,88.14,0,0.600881057268722,5,1,4
"10",13382,149,16,1,0,0,1,0.67,0,0,0.67,27.52,0.67,12.08,0,50,0,6.21,5.75,86.97,0.00671140939597315,0.731543624161074,2,1,5
"11",13306,375,18,0,0,2,2,0,0,0.8,0.8,4.8,0,18.93,0,22.22,1,5.56,5.56,65.29,0,0.696,2,0,3
"12",13322,391.8,16,1,0,0,1,0.51,0,0,0.51,4.34,0,25.01,0,37.5,0,4.8,5,89.9,0,0.887697805002552,1,0,3
"13",13342,295.99,13,1,0,0,1,0.34,0,0,0.34,40.88,0,4.73,0,30.77,0,7.44,5.62,106.58,0,0.912159194567384,1,0,3
"14",13324,139.98,9,0,0,0,0,0,0,0,0,22.15,0,0.71,0,22.22,0,6.96,4.67,89.9,0,0.939419917131019,0,0,0
"15",13309,394,12,0,0,0,0,0,0,0,0,6.35,0,23.1,0,25,0,5.8,5.67,68.06,0,0.8248730964467,0,0,3
"16",13298,116,10,0,0,0,0,0,0,0,0,43.1,0,11.21,0,50,0,6.41,5.8,102.61,0,0.672413793103448,0,0,1
"17",13299,295,16,0,0,0,0,0,0,0,0,23.39,0.68,54.58,0,31.25,1,5.18,5,69.32,0,0.68135593220339,0,0,3
"18",13301,165,9,0,0,0,0,0,0,0,0,28.48,0,38.18,0,44.44,0,6.06,5.56,72.02,0,0.76969696969697,0,0,2
"19",13302,170,12,0,0,0,0,0,0,0,0,10.59,0.59,8.24,0,25,1,7.06,4.67,88.47,0,0.770588235294118,0,0,1
"20",13307,499,13,0,0,1,1,0,0,0.6,0.6,10.82,0,5.41,0,23.08,1,5.67,6,85,0,0.92184368737475,1,0,2
"21",13303,227,14,2,0,2,4,11.89,0,0.88,12.78,10.57,0.44,3.96,0,35.71,0,5.85,5,85.53,0,0.722466960352423,4,0,1
"22",13304,106,11,0,0,1,1,0,0,3.77,3.77,11.32,0,31.13,0,27.27,0,4.68,5.64,61.96,0,0.688679245283019,1,0,1
"23",13305,161.1,13,1,0,1,2,1.86,0,0.62,2.48,38.49,1.86,18.62,0,46.15,0,6.24,5.31,100.7,0,0.670391061452514,2,0,2
"24",13308,414.8,12,0,0,2,2,0,0,0.72,0.72,1.45,0,3.62,0,33.33,0,5.01,5.67,91.04,0,0.927675988428158,2,0,2
"25",13310,312.99,13,1,0,1,2,10.86,0,0.96,11.82,45.05,0,12.14,0,38.46,0,6.42,6,123.34,0,0.779545672385699,3,1,2
"26",13311,557,13,1,0,1,2,19.39,0,0.18,19.57,17.06,0,2.33,0,46.15,0,7.35,6.54,92.19,0,0.696588868940754,2,0,2
"27",13312,226.8,17,0,0,0,0,0,0,0,0,11.9,0,33.95,0,35.29,0,6.62,5.59,68.5,0,0.748677248677249,1,1,3
"28",13313,768.47,20,1,0,2,3,0.13,0,0.91,1.04,2.73,0,17.96,0,35,0,5.39,6.05,82.22,0,0.751727458456413,4,1,4
